texto,categoria,criterio,formato
En formato formato excel dame los flujos de trabajo demorados.,tramites,atrasados,excel
En en excel quiero el reporte de personas en proceso,clientes,pendientes,excel
En documento word quiero el reporte de reglas resueltos,politicas,completados,word
¿cómo puedo ver el reporte de requisitos completado en archivo pdf?,documentos,completados,pdf
Reporte procesos con demora word,tramites,atrasados,word
Exportar a hoja excel los ficheros,documentos,todos,excel
Muéstrame un reporte de usuarios finales en formato word,clientes,todos,word
Quiero exportar en pantalla las personal procesando,usuarios,pendientes,pantalla
EN FORMATO ARCHIVO EXCEL DAME LOS PETICIONES PROCESANDO,tramites,pendientes,excel
Obtener reporte de archivos en archivo word,documentos,todos,word
Datos trámites aprobado formato excel,tramites,completados,excel
Descargar reporte de documento cualquiera en archivo pdf,documentos,todos,pdf
Hazme un reporte de personas sin filtros en documento pdf,clientes,todos,pdf
Reporte operadores en progreso archivo excel,usuarios,pendientes,excel
Reporte usuarios pdf!,usuarios,todos,pdf
Quiero un reporte de documento en archivo excel,documentos,todos,excel
Muéstrame un reporte de usuarios finales en archivo word,clientes,todos,word
Exportar a docx los ciudadanos.,clientes,todos,word
Por favor genera un reporte de papeles tardíos en visualizar,documentos,atrasados,pantalla
Datos clientes con retraso formato json,clientes,atrasados,pantalla
Generar un reporte de operador en formato json,usuarios,todos,pantalla
reporte peticiones documento editable,tramites,todos,word
Quiero un reporte de solicitantes con demora en word,clientes,atrasados,word
Dame los diagramas en proceso en formato archivo pdf,politicas,pendientes,pdf
¿cómo puedo ver el reporte de reglas pendiente en formato excel?.,politicas,pendientes,excel
generar un reporte de cliente en formato word,clientes,todos,word
Obtener reporte de política en formato pdf,politicas,todos,pdf
Reporte personas en pdf!,clientes,todos,pdf
Muéstrame un reporte de empleados en formato excel,usuarios,todos,excel
dame los diagramas de actividad en formato xlsx,politicas,todos,excel
Dame los reglas activos en formato hoja excel,politicas,pendientes,excel
necesito exportar a en word el listado de personas fuera de plazo,clientes,atrasados,word
crear reporte de reglas completo en hoja excel,politicas,todos,excel
muéstrame un reporte de flujos de trabajo en xlsx,tramites,todos,excel
En formato en pdf dame los solicitantes general,clientes,todos,pdf
Muéstrame un reporte de clientes en formato portable,clientes,todos,pdf
Necesito el reporte de usuarios completo en word.,usuarios,todos,word
Quiero un reporte de solicitantes en documento pdf,clientes,todos,pdf
Quiero exportar en archivo word las operador completado,usuarios,completados,word
Generar un reporte de diagramas vencidos en json,politicas,atrasados,pantalla
Necesito exportar a word el listado de reglas completo,politicas,todos,word
Quiero un reporte de papeles total en formato pdf,documentos,todos,pdf
Descargar en pantalla el reporte de peticiones fuera de plazo,tramites,atrasados,pantalla
Quisiera ver la lista de solicitudes sin filtros y bajarla en en excel,tramites,todos,excel
Quiero exportar en pdf las ciudadanos total,clientes,todos,pdf
Por favor genera un reporte de usuarios en progreso en formato json,usuarios,pendientes,pantalla
Necesito el reporte de funcionario atrasado en archivo excel!,usuarios,atrasados,excel
lista usuarios vencido formato portable,usuarios,atrasados,pdf
Descargar reporte de papeles con demora en en pdf,documentos,atrasados,pdf
Quiero un reporte de cliente en json.,clientes,todos,pantalla
Reporte cliente terminados excel,clientes,completados,excel
Hazme un reporte de trámites demorado en en pdf,tramites,atrasados,pdf
PODRÍAS GENERARME UN REPORTE DE FLUJOS DE TRABAJO EN PROGRESO EN PANTALLA,tramites,pendientes,pantalla
Quiero un reporte de clientes en xlsx.,clientes,todos,excel
Descargar reporte de clientes en word,clientes,todos,word
DESCARGAR EN EXCEL EL REPORTE DE SOLICITUDES SIN FILTROS,tramites,todos,excel
Obtener reporte de solicitudes en formato json,tramites,todos,pantalla
Quiero un reporte de peticiones en formato word,tramites,todos,word
Necesito exportar a en pdf el listado de flujos de trabajo total,tramites,todos,pdf
OBTENER REPORTE DE FUNCIONARIOS TERMINADO EN XLSX,usuarios,completados,excel
Quiero un reporte de política de negocio hechos en formato portable,politicas,completados,pdf
En formato mostrar dame los usuarios finales pendientes,clientes,pendientes,pantalla
lista documento json,documentos,todos,pantalla
descargar reporte de operadores completados en formato pdf,usuarios,completados,pdf
Listado diagramas de actividad tardíos en excel,politicas,atrasados,excel
Hazme un reporte de política de negocio general en vista previa,politicas,todos,pantalla
Lista usuarios finales documento pdf!,clientes,todos,pdf
Dame los operadores activo en formato pdf,usuarios,pendientes,pdf
Lista archivo completo xlsx,documentos,todos,excel
¿cómo puedo ver el reporte de trámite procesando en documento pdf?!,tramites,pendientes,pdf
Podrías generarme un reporte de casos en proceso en formato excel,tramites,pendientes,excel
Exportar a archivo pdf los documentos,documentos,todos,pdf
Exportar a pdf los usuarios finales,clientes,todos,pdf
Hazme un reporte de usuarios atrasados en visualizar,usuarios,atrasados,pantalla
Necesito el reporte de personas procesando en vista previa,clientes,pendientes,pantalla
necesito el reporte de procesos global en mostrar,tramites,todos,pantalla
Descargar reporte de política aprobados en excel,politicas,completados,excel
Sácame un reporte de políticas con demora en archivo word,politicas,atrasados,word
generar un reporte de funcionario activo en formato portable,usuarios,pendientes,pdf
Listado solicitantes vencidos json,clientes,atrasados,pantalla
Lista documentos tardíos formato pdf,documentos,atrasados,pdf
Dame los política de negocio en formato archivo excel,politicas,todos,excel
Muéstrame un reporte de usuarios finales sin terminar en archivo pdf,clientes,pendientes,pdf
QUISIERA VER LA LISTA DE EMPLEADOS EN PROGRESO Y BAJARLA EN MOSTRAR,usuarios,pendientes,pantalla
Quiero un reporte de trámites en word,tramites,todos,word
Dame los operadores atrasado en formato word.,usuarios,atrasados,word
Lista clientes formato pdf.,clientes,todos,pdf
QUISIERA VER LA LISTA DE TRÁMITE EN CURSO Y BAJARLA EN EXCEL,tramites,pendientes,excel
Quiero exportar en en pantalla las operadores vencidos,usuarios,atrasados,pantalla
Podrías generarme un reporte de usuarios terminados en ver,usuarios,completados,pantalla
necesito exportar a en pdf el listado de usuarios finales atrasado,clientes,atrasados,pdf
Quisiera ver la lista de archivos terminados y bajarla en mostrar,documentos,completados,pantalla
Muéstrame un reporte de documento en documento editable!,documentos,todos,word
Por favor genera un reporte de solicitantes global en ver,clientes,todos,pantalla
Muéstrame un reporte de ciudadanos en en word,clientes,todos,word
Datos operadores atrasado archivo pdf,usuarios,atrasados,pdf
Datos archivo terminados word,documentos,completados,word
Quisiera ver la lista de procesos en curso y bajarla en en pdf!,tramites,pendientes,pdf
crear reporte de personas completado en documento editable,clientes,completados,word
Necesito el reporte de diagramas en excel,politicas,todos,excel
Quiero un reporte de reglas de negocio en curso en archivo pdf!,politicas,pendientes,pdf
Sácame un reporte de trámite atrasado en formato pdf,tramites,atrasados,pdf
Datos documento en curso pdf,documentos,pendientes,pdf
Dame los documento cualquiera en formato en excel.,documentos,todos,excel
obtener reporte de adjuntos con demora en pantalla,documentos,atrasados,pantalla
Descargar reporte de clientes vencido en formato excel,clientes,atrasados,excel
Dame los peticiones completo en formato formato excel,tramites,todos,excel
Muéstrame un reporte de clientes hechos en word,clientes,completados,word
DAME LOS TRÁMITE EN FORMATO FORMATO JSON,tramites,todos,pantalla
necesito el reporte de trámites en visualizar,tramites,todos,pantalla
Descargar reporte de requisitos en en excel,documentos,todos,excel
En formato pantalla dame los solicitudes todas,tramites,todos,pantalla
En pantalla quiero el reporte de personal completados,usuarios,completados,pantalla
Generar un reporte de archivos en visualizar,documentos,todos,pantalla
Quiero un reporte de solicitantes aprobados en vista previa,clientes,completados,pantalla
¿cómo puedo ver el reporte de reglas demorados en excel?,politicas,atrasados,excel
EXPORTAR A PDF LOS DOCUMENTOS SIN FILTROS,documentos,todos,pdf
Crear reporte de reglas de negocio finalizado en formato excel,politicas,completados,excel
Descargar reporte de usuarios atrasados en hoja de cálculo,usuarios,atrasados,excel
Muéstrame un reporte de funcionarios pendiente en en pdf,usuarios,pendientes,pdf
¿es posible obtener los personas finalizado en mostrar?.,clientes,completados,pantalla
Reporte empleados vencido documento pdf,usuarios,atrasados,pdf
¿es posible obtener los solicitante demorado en archivo word?,clientes,atrasados,word
Quiero exportar en ver las procesos todas,tramites,todos,pantalla
Muéstrame un reporte de operadores en excel.,usuarios,todos,excel
MUÉSTRAME UN REPORTE DE EMPLEADO EN CONSOLA.,usuarios,todos,pantalla
muéstrame un reporte de trámite en formato json,tramites,todos,pantalla
Descargar reporte de políticas de negocio en visualizar,politicas,todos,pantalla
¿cómo puedo ver el reporte de ciudadanos terminados en archivo pdf?,clientes,completados,pdf
Generar un reporte de requisitos en archivo word,documentos,todos,word
por favor genera un reporte de operadores vencidos en json,usuarios,atrasados,pantalla
Lista solicitantes formato excel,clientes,todos,excel
Obtener reporte de diagramas de actividad en hoja excel!,politicas,todos,excel
¿es posible obtener los funcionarios todos en formato excel?,usuarios,todos,excel
¿cómo puedo ver el reporte de trámite en curso en visualizar?,tramites,pendientes,pantalla
Obtener reporte de operadores en word,usuarios,todos,word
Exportar a mostrar los usuario,usuarios,todos,pantalla
En formato formato excel dame los archivos todos,documentos,todos,excel
Crear reporte de casos sin filtros en en word,tramites,todos,word
Generar un reporte de ficheros en archivo pdf,documentos,todos,pdf
Quiero un reporte de usuarios finales demorados en xlsx,clientes,atrasados,excel
Generar un reporte de reglas de negocio en formato portable.,politicas,todos,pdf
Exportar a pdf los diagramas vencido,politicas,atrasados,pdf
Descargar en archivo pdf el reporte de trámites terminados,tramites,completados,pdf
Lista usuario sin filtros xlsx,usuarios,todos,excel
Dame los diagramas de actividad sin terminar en formato en pdf,politicas,pendientes,pdf
Por favor genera un reporte de política resuelto en formato pdf,politicas,completados,pdf
Quisiera ver la lista de peticiones en curso y bajarla en formato pdf,tramites,pendientes,pdf
Generar un reporte de casos en vista previa,tramites,todos,pantalla
sácame un reporte de operador terminados en archivo excel,usuarios,completados,excel
Quiero un reporte de operador con retraso en consola,usuarios,atrasados,pantalla
Sácame un reporte de política de negocio en progreso en pdf,politicas,pendientes,pdf
Quiero exportar en word las solicitudes resuelto,tramites,completados,word
Necesito el reporte de archivo con retraso en excel,documentos,atrasados,excel
Necesito el reporte de procesos fuera de plazo en hoja de cálculo,tramites,atrasados,excel
En xlsx quiero el reporte de política finalizado,politicas,completados,excel
Reporte fichero formato portable,documentos,todos,pdf
Dame los funcionarios en formato pdf,usuarios,todos,pdf
Descargar reporte de políticas en formato pdf,politicas,todos,pdf
Lista usuarios en curso formato pdf,usuarios,pendientes,pdf
quiero exportar en excel las flujos de trabajo en proceso,tramites,pendientes,excel
Generar un reporte de solicitantes en formato json,clientes,todos,pantalla
Generar un reporte de diagramas general en pdf,politicas,todos,pdf
En xlsx quiero el reporte de empleados completados,usuarios,completados,excel
por favor genera un reporte de usuario fuera de plazo en docx,usuarios,atrasados,word
Reporte solicitudes sin filtros ver,tramites,todos,pantalla
Reporte adjuntos procesando formato pdf,documentos,pendientes,pdf
descargar reporte de procesos en documento pdf,tramites,todos,pdf
Descargar reporte de adjuntos en curso en hoja de cálculo.,documentos,pendientes,excel
Exportar a word los operadores,usuarios,todos,word
obtener reporte de reglas en formato excel.,politicas,todos,excel
Sácame un reporte de diagramas finalizados en ver,politicas,completados,pantalla
En formato ver dame los funcionarios tardíos,usuarios,atrasados,pantalla
Lista empleados xlsx,usuarios,todos,excel
lista peticiones demorados xlsx!,tramites,atrasados,excel
POR FAVOR GENERA UN REPORTE DE TRÁMITE SIN FILTROS EN PANTALLA,tramites,todos,pantalla
Obtener reporte de trámite en visualizar.,tramites,todos,pantalla
Necesito exportar a formato pdf el listado de documento con demora,documentos,atrasados,pdf
Generar un reporte de usuario general en documento pdf.,usuarios,todos,pdf
Generar un reporte de diagramas en en pantalla,politicas,todos,pantalla
Listado peticiones lista completa consola!,tramites,todos,pantalla
Lista diagramas finalizados xlsx,politicas,completados,excel
Generar un reporte de archivo vencidos en excel,documentos,atrasados,excel
Quisiera ver la lista de cliente completado y bajarla en en excel,clientes,completados,excel
Sácame un reporte de solicitante en curso en formato json!,clientes,pendientes,pantalla
Lista archivos resuelto word,documentos,completados,word
Descargar en archivo pdf el reporte de trámites sin filtros.,tramites,todos,pdf
lista papeles terminados hoja de cálculo,documentos,completados,excel
En pantalla quiero el reporte de empleados en proceso,usuarios,pendientes,pantalla
Muéstrame un reporte de usuarios finales en json,clientes,todos,pantalla
¿es posible obtener los trámite tardíos en documento editable?,tramites,atrasados,word
QUIERO UN REPORTE DE TRÁMITE COMPLETO EN DOCUMENTO EDITABLE,tramites,todos,word
Quiero un reporte de trámites en vista previa,tramites,todos,pantalla
Generar un reporte de política en word,politicas,todos,word
Hazme un reporte de operadores sin filtros en docx,usuarios,todos,word
Sácame un reporte de casos completado en archivo word,tramites,completados,word
EXPORTAR A PANTALLA LOS ARCHIVOS,documentos,todos,pantalla
Quiero un reporte de reglas de negocio en en pdf!,politicas,todos,pdf
exportar a docx los requisitos cualquiera,documentos,todos,word
En formato formato pdf dame los usuarios finales lista completa,clientes,todos,pdf
Exportar a consola los peticiones general,tramites,todos,pantalla
Quiero un reporte de políticas de negocio completo en en pantalla,politicas,todos,pantalla
Muéstrame un reporte de procesos cualquiera en documento pdf!,tramites,todos,pdf
Muéstrame un reporte de ciudadanos pendientes en hoja excel,clientes,pendientes,excel
Crear reporte de peticiones en hoja excel,tramites,todos,excel
¿cómo puedo ver el reporte de adjuntos lista completa en documento pdf?,documentos,todos,pdf
Reporte solicitudes global en pdf,tramites,todos,pdf
quiero un reporte de política sin terminar en en pdf,politicas,pendientes,pdf
¿es posible obtener los usuarios finales demorados en visualizar?.,clientes,atrasados,pantalla
Lista funcionario procesando archivo word.,usuarios,pendientes,word
Obtener reporte de adjuntos en consola,documentos,todos,pantalla
dame los empleado procesando en formato archivo pdf,usuarios,pendientes,pdf
necesito el reporte de documentos demorado en en word,documentos,atrasados,word
CREAR REPORTE DE USUARIOS EN PANTALLA,usuarios,todos,pantalla
En archivo excel quiero el reporte de flujos de trabajo lista completa,tramites,todos,excel
Quiero un reporte de usuarios hechos en documento editable,usuarios,completados,word
Quiero un reporte de reglas de negocio en visualizar,politicas,todos,pantalla
generar un reporte de política de negocio en documento pdf,politicas,todos,pdf
Descargar en consola el reporte de documentos demorados,documentos,atrasados,pantalla
Descargar reporte de reglas de negocio en archivo excel.,politicas,todos,excel
Lista archivo docx,documentos,todos,word
Por favor genera un reporte de casos en proceso en pantalla,tramites,pendientes,pantalla
Necesito el reporte de empleado en formato word,usuarios,todos,word
Lista funcionario aprobados formato portable,usuarios,completados,pdf
Lista política cualquiera en pantalla,politicas,todos,pantalla
Muéstrame un reporte de documentos en consola,documentos,todos,pantalla
Descargar reporte de solicitudes en archivo word,tramites,todos,word
En formato en excel dame los solicitudes resueltos!,tramites,completados,excel
Descargar en formato pdf el reporte de solicitante global,clientes,todos,pdf
Lista política hoja excel,politicas,todos,excel
datos solicitantes global excel,clientes,todos,excel
Exportar a archivo pdf los empleado,usuarios,todos,pdf
Listado documentos todos pdf,documentos,todos,pdf
Quiero exportar en formato portable las ciudadanos activo,clientes,pendientes,pdf
Descargar reporte de documentos en archivo pdf,documentos,todos,pdf
En documento word quiero el reporte de peticiones global,tramites,todos,word
Quiero exportar en xlsx las trámites resueltos,tramites,completados,excel
generar un reporte de usuarios finales en archivo pdf,clientes,todos,pdf
generar un reporte de diagramas de actividad tardíos en docx,politicas,atrasados,word
¿es posible obtener los clientes cualquiera en consola?,clientes,todos,pantalla
reporte funcionario fuera de plazo en word,usuarios,atrasados,word
Dame los requisitos todas en formato word,documentos,todos,word
En formato hoja excel dame los operadores atrasado,usuarios,atrasados,excel
muéstrame un reporte de diagramas en xlsx,politicas,todos,excel
LISTA EMPLEADOS RESUELTOS PANTALLA,usuarios,completados,pantalla
Obtener reporte de documento en formato word,documentos,todos,word
Necesito exportar a formato word el listado de clientes vencido,clientes,atrasados,word
Muéstrame un reporte de funcionario terminados en pantalla.,usuarios,completados,pantalla
Lista empleado vencido en pdf,usuarios,atrasados,pdf
GENERAR UN REPORTE DE CASOS SIN FILTROS EN DOCUMENTO PDF,tramites,todos,pdf
Lista procesos completado archivo word,tramites,completados,word
Exportar a excel los políticas procesando,politicas,pendientes,excel
Generar un reporte de peticiones en archivo word,tramites,todos,word
¿es posible obtener los solicitante con retraso en xlsx?,clientes,atrasados,excel
quiero un reporte de política en formato excel,politicas,todos,excel
Necesito el reporte de personal en pdf,usuarios,todos,pdf
Obtener reporte de casos pendiente en archivo pdf,tramites,pendientes,pdf
Podrías generarme un reporte de usuario activos en formato portable.,usuarios,pendientes,pdf
Generar un reporte de políticas de negocio en docx,politicas,todos,word
podrías generarme un reporte de peticiones hechos en ver,tramites,completados,pantalla
Obtener reporte de solicitantes en documento word.,clientes,todos,word
Muéstrame un reporte de políticas en proceso en hoja excel,politicas,pendientes,excel
Por favor genera un reporte de papeles aprobados en consola,documentos,completados,pantalla
hazme un reporte de cliente atrasados en docx.,clientes,atrasados,word
Exportar a consola los usuarios,usuarios,todos,pantalla
sácame un reporte de trámite global en pantalla,tramites,todos,pantalla
crear reporte de usuarios finales resueltos en archivo pdf.,clientes,completados,pdf
quiero un reporte de peticiones activos en formato portable,tramites,pendientes,pdf
Crear reporte de papeles completo en docx!,documentos,todos,word
Descargar reporte de política de negocio en en pdf,politicas,todos,pdf
Lista reglas formato portable,politicas,todos,pdf
Lista políticas de negocio pdf,politicas,todos,pdf
sácame un reporte de operadores finalizados en ver,usuarios,completados,pantalla
Quiero un reporte de cliente en pdf,clientes,todos,pdf
Por favor genera un reporte de operadores global en excel.,usuarios,todos,excel
generar un reporte de políticas terminado en formato pdf,politicas,completados,pdf
Quisiera ver la lista de solicitantes global y bajarla en pdf,clientes,todos,pdf
Datos funcionario con demora hoja de cálculo,usuarios,atrasados,excel
Dame los empleado en proceso en formato archivo pdf,usuarios,pendientes,pdf
Necesito el reporte de reglas de negocio en mostrar,politicas,todos,pantalla
Lista personal en word,usuarios,todos,word
Necesito exportar a json el listado de documento cualquiera,documentos,todos,pantalla
Descargar en mostrar el reporte de flujos de trabajo finalizado,tramites,completados,pantalla
Necesito el reporte de requisitos activo en hoja de cálculo,documentos,pendientes,excel
En json quiero el reporte de requisitos lista completa,documentos,todos,pantalla
en formato xlsx dame los documentos finalizados!,documentos,completados,excel
Lista ciudadanos en progreso archivo excel,clientes,pendientes,excel
Obtener reporte de diagramas sin terminar en en pdf,politicas,pendientes,pdf
Lista flujos de trabajo docx.,tramites,todos,word
En formato xlsx dame los cliente hechos,clientes,completados,excel
Exportar a mostrar los papeles sin filtros,documentos,todos,pantalla
dame los procesos en formato pantalla.,tramites,todos,pantalla
Crear reporte de usuarios finales en docx,clientes,todos,word
Descargar reporte de casos en docx,tramites,todos,word
SÁCAME UN REPORTE DE OPERADOR EN CURSO EN VER,usuarios,pendientes,pantalla
Crear reporte de casos en xlsx,tramites,todos,excel
Dame los personas en formato json,clientes,todos,pantalla
Crear reporte de reglas de negocio en json,politicas,todos,pantalla
Quiero un reporte de funcionario en documento editable,usuarios,todos,word
En visualizar quiero el reporte de documento finalizados,documentos,completados,pantalla
¿ES POSIBLE OBTENER LOS SOLICITUDES FUERA DE PLAZO EN ARCHIVO WORD?,tramites,atrasados,word
Exportar a hoja excel los cliente,clientes,todos,excel
Muéstrame un reporte de papeles resueltos en vista previa,documentos,completados,pantalla
Dame los adjuntos procesando en formato vista previa,documentos,pendientes,pantalla
Sácame un reporte de políticas demorado en json,politicas,atrasados,pantalla
Dame los empleado en formato documento pdf,usuarios,todos,pdf
Generar un reporte de diagramas en formato pdf,politicas,todos,pdf
generar un reporte de requisitos global en formato pdf,documentos,todos,pdf
Exportar a formato word los reglas,politicas,todos,word
NECESITO EL REPORTE DE CLIENTE EN DOCUMENTO PDF,clientes,todos,pdf
Muéstrame un reporte de reglas de negocio todos en hoja de cálculo,politicas,todos,excel
OBTENER REPORTE DE USUARIO EN ARCHIVO WORD,usuarios,todos,word
¿cómo puedo ver el reporte de documentos cualquiera en mostrar?,documentos,todos,pantalla
Lista documentos total hoja excel,documentos,todos,excel
Reporte solicitudes formato portable,tramites,todos,pdf
Necesito el reporte de casos en archivo word,tramites,todos,word
Lista reglas de negocio xlsx,politicas,todos,excel
Quisiera ver la lista de trámites aprobado y bajarla en docx,tramites,completados,word
Reporte diagramas demorado archivo word,politicas,atrasados,word
Reporte diagramas de actividad atrasados xlsx!,politicas,atrasados,excel
Por favor genera un reporte de adjuntos con demora en documento editable!,documentos,atrasados,word
Dame los documentos en formato excel,documentos,todos,excel
Necesito el reporte de reglas de negocio en archivo pdf,politicas,todos,pdf
Generar un reporte de fichero en hoja excel,documentos,todos,excel
Sácame un reporte de archivos en curso en excel,documentos,pendientes,excel
Descargar reporte de solicitantes cualquiera en mostrar,clientes,todos,pantalla
Obtener reporte de fichero pendiente en archivo pdf,documentos,pendientes,pdf
LISTA USUARIOS FINALES EN WORD,clientes,todos,word
Dame los archivo en formato excel.,documentos,todos,excel
Necesito el reporte de papeles en excel,documentos,todos,excel
¿cómo puedo ver el reporte de ciudadanos vencido en en word?,clientes,atrasados,word
Reporte personal hoja excel,usuarios,todos,excel
Descargar reporte de usuarios finales en documento word,clientes,todos,word
Crear reporte de diagramas de actividad en xlsx,politicas,todos,excel
Necesito exportar a ver el listado de requisitos atrasado,documentos,atrasados,pantalla
reporte políticas documento editable,politicas,todos,word
descargar reporte de ciudadanos en formato excel,clientes,todos,excel
Por favor genera un reporte de políticas de negocio vencido en archivo pdf,politicas,atrasados,pdf
Necesito el reporte de reglas de negocio en formato excel!,politicas,todos,excel
Crear reporte de operador en vista previa,usuarios,todos,pantalla
Descargar reporte de papeles en documento editable,documentos,todos,word
Necesito el reporte de fichero con retraso en formato word,documentos,atrasados,word
Quiero exportar en archivo pdf las personal en proceso!,usuarios,pendientes,pdf
Datos usuario activo pdf,usuarios,pendientes,pdf
Reporte documentos en word,documentos,todos,word
Dame los diagramas en formato archivo pdf,politicas,todos,pdf
Reporte operadores resueltos documento word!,usuarios,completados,word
Necesito el reporte de ficheros en visualizar,documentos,todos,pantalla
Dame los solicitantes en formato en pdf,clientes,todos,pdf
Exportar a archivo pdf los usuarios finales en curso,clientes,pendientes,pdf
datos funcionario finalizado xlsx,usuarios,completados,excel
Muéstrame un reporte de operadores en excel,usuarios,todos,excel
Quisiera ver la lista de usuario completo y bajarla en formato excel,usuarios,todos,excel
¿es posible obtener los políticas vencido en pantalla?,politicas,atrasados,pantalla
Quiero exportar en pdf las casos total,tramites,todos,pdf
Dame los casos en formato hoja excel,tramites,todos,excel
Quiero un reporte de archivo general en documento editable,documentos,todos,word
Quiero un reporte de trámites en xlsx,tramites,todos,excel
¿cómo puedo ver el reporte de clientes todos en ver?,clientes,todos,pantalla
reporte trámite hoja de cálculo,tramites,todos,excel
Descargar reporte de solicitante sin terminar en pantalla.,clientes,pendientes,pantalla
listado requisitos completado documento word,documentos,completados,word
Necesito el reporte de peticiones en documento word,tramites,todos,word
exportar a en excel los flujos de trabajo lista completa,tramites,todos,excel
En formato formato word dame los usuarios finales finalizados,clientes,completados,word
¿cómo puedo ver el reporte de trámites finalizado en archivo pdf?,tramites,completados,pdf
obtener reporte de ficheros en en word,documentos,todos,word
Sácame un reporte de funcionario todas en hoja de cálculo,usuarios,todos,excel
Crear reporte de cliente terminado en excel,clientes,completados,excel
Generar un reporte de políticas finalizados en hoja excel,politicas,completados,excel
Exportar a pdf los usuarios finales.,clientes,todos,pdf
Obtener reporte de políticas total en xlsx,politicas,todos,excel
lista políticas en excel.,politicas,todos,excel
Muéstrame un reporte de solicitantes en en pantalla,clientes,todos,pantalla
Reporte archivo todas hoja de cálculo.,documentos,todos,excel
Crear reporte de trámite en xlsx,tramites,todos,excel
descargar reporte de trámite terminados en formato excel.,tramites,completados,excel
Reporte clientes completo pdf,clientes,todos,pdf
por favor genera un reporte de cliente cualquiera en xlsx.,clientes,todos,excel
Sácame un reporte de funcionarios en progreso en excel.,usuarios,pendientes,excel
Reporte políticas en pdf,politicas,todos,pdf
Exportar a excel los adjuntos aprobados,documentos,completados,excel
En formato documento word dame los cliente finalizado,clientes,completados,word
Necesito el reporte de solicitantes en archivo excel,clientes,todos,excel
Obtener reporte de diagramas de actividad en formato excel,politicas,todos,excel
Generar un reporte de diagramas en hoja de cálculo,politicas,todos,excel
Lista diagramas de actividad fuera de plazo visualizar,politicas,atrasados,pantalla
Lista reglas de negocio aprobado hoja excel,politicas,completados,excel
Necesito exportar a en pantalla el listado de funcionarios procesando,usuarios,pendientes,pantalla
obtener reporte de solicitantes en hoja de cálculo,clientes,todos,excel
Listado solicitantes activo xlsx,clientes,pendientes,excel
Podrías generarme un reporte de políticas vencidos en formato json,politicas,atrasados,pantalla
crear reporte de políticas en mostrar,politicas,todos,pantalla
Exportar a documento pdf los cliente atrasados,clientes,atrasados,pdf
Obtener reporte de solicitudes en en word.,tramites,todos,word
Crear reporte de archivo todas en docx,documentos,todos,word
Podrías generarme un reporte de solicitantes total en hoja excel,clientes,todos,excel
muéstrame un reporte de funcionario en visualizar,usuarios,todos,pantalla
Crear reporte de operadores en hoja de cálculo,usuarios,todos,excel
Quiero un reporte de usuarios finales en word,clientes,todos,word
Descargar reporte de archivo pendiente en word,documentos,pendientes,word
Necesito el reporte de peticiones demorado en json,tramites,atrasados,pantalla
Lista operadores en proceso mostrar.,usuarios,pendientes,pantalla
DESCARGAR REPORTE DE POLÍTICAS DE NEGOCIO EN DOCUMENTO PDF,politicas,todos,pdf
quiero un reporte de trámites fuera de plazo en visualizar,tramites,atrasados,pantalla
Generar un reporte de peticiones en visualizar,tramites,todos,pantalla
Descargar en excel el reporte de reglas de negocio demorados,politicas,atrasados,excel
Muéstrame un reporte de funcionario sin terminar en formato pdf,usuarios,pendientes,pdf
Obtener reporte de usuarios finales vencidos en excel,clientes,atrasados,excel
Datos cliente atrasado archivo excel,clientes,atrasados,excel
Obtener reporte de usuarios finales tardíos en hoja excel,clientes,atrasados,excel
Exportar a hoja excel los operador completado,usuarios,completados,excel
obtener reporte de usuario general en archivo excel,usuarios,todos,excel
podrías generarme un reporte de cliente demorado en formato word.,clientes,atrasados,word
Quiero un reporte de archivo en word,documentos,todos,word
En formato documento word dame los solicitantes finalizados,clientes,completados,word
Muéstrame un reporte de papeles en formato word,documentos,todos,word
dame los empleados cualquiera en formato mostrar,usuarios,todos,pantalla
Sácame un reporte de empleado global en mostrar,usuarios,todos,pantalla
generar un reporte de papeles en documento pdf!,documentos,todos,pdf
Listado clientes atrasados visualizar,clientes,atrasados,pantalla
Necesito el reporte de peticiones lista completa en json,tramites,todos,pantalla
Lista flujos de trabajo tardíos pantalla,tramites,atrasados,pantalla
Crear reporte de requisitos en mostrar,documentos,todos,pantalla
En formato xlsx dame los adjuntos en progreso,documentos,pendientes,excel
lista ficheros pendientes word,documentos,pendientes,word
Crear reporte de peticiones pendiente en formato word.,tramites,pendientes,word
Exportar a docx los operador.,usuarios,todos,word
DESCARGAR REPORTE DE PERSONAS EN EN PDF,clientes,todos,pdf
datos peticiones pendiente pdf,tramites,pendientes,pdf
Descargar reporte de fichero finalizados en archivo pdf,documentos,completados,pdf
Obtener reporte de usuarios finales completados en xlsx,clientes,completados,excel
Quiero un reporte de solicitante procesando en formato word,clientes,pendientes,word
GENERAR UN REPORTE DE PAPELES EN XLSX,documentos,todos,excel
Lista empleados todos archivo word.,usuarios,todos,word
Podrías generarme un reporte de personas total en en pdf,clientes,todos,pdf
Quiero exportar en docx las flujos de trabajo sin filtros!,tramites,todos,word
Quiero exportar en excel las solicitante aprobados,clientes,completados,excel
Lista trámite pendientes archivo word,tramites,pendientes,word
Descargar reporte de reglas de negocio en en word,politicas,todos,word
En formato hoja de cálculo dame los política finalizados,politicas,completados,excel
Necesito exportar a documento word el listado de clientes sin terminar,clientes,pendientes,word
Descargar reporte de usuarios en docx,usuarios,todos,word
